gate,linear_train_acc,linear_test_acc,linear_time_sec,quad_train_acc,quad_test_acc,quad_time_sec,lora_train_acc,lora_test_acc,lora_time_sec
0.0,0.50132,0.512,1470.0825040340424,0.49804,0.5053,1666.565934419632,0.52602,0.5453,2120.4693484306335
0.25,0.62154,0.6457,1308.795776605606,0.61656,0.6,1970.4017162322998,0.64224,0.6647,1541.1269707679749
0.5,0.69532,0.7177,2288.4185523986816,0.70394,0.7004,1642.0736384391785,0.7119,0.7323,1763.3248870372772
0.75,0.77782,0.7934,1425.7427451610565,0.79614,0.7781,1381.649076461792,0.78998,0.8023,1841.4942185878754
1.0,0.77248,0.7803,1515.5312736034393,0.79036,0.775,1559.128481388092,0.78382,0.788,1738.9049446582794
