sweep,seed,dataset,run_name,grid_id,method,stage,scope,rank,train_head,lr,weight_decay,epochs_completed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_train_acc,best_train_acc_epoch,best_test_acc,best_test_acc_epoch,best_test_loss,best_test_loss_epoch,best_minus_final_test_acc,final_generalization_gap,trainable_params,total_params,trainable_pct,training_time_sec,training_time_min,training_time_hr,base_checkpoint,metrics_path
food101_l40s_atrous_budget_scaling_28671171,21,food101,117_q_all_r4_h1_lr1em4_wd0p0_k3d3,117,Quadratic depthwise adapter,quad_dw,all,4,yes,0.0001,0.0,16,0.5896203588038781,0.8397227722772277,0.7039045824060346,0.8032079207920793,0.8398679867986799,15,0.8034851485148515,14,0.7039045824060346,16,0.0002772277227722775,0.036514851485148436,554597,28374725,1.9545458149814667,5406.018513202667,90.10030855337779,1.501671809222963,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/117_q_all_r4_h1_lr1em4_wd0p0_k3d3/food101/quad_dw/all_rank_4/quad_k3_d3/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,118_q_all_r4_h1_lr3em4_wd0p0_k3d3,118,Quadratic depthwise adapter,quad_dw,all,4,yes,0.0003,0.0,16,0.5090181266915287,0.858943894389439,0.6957655344811997,0.8092277227722773,0.858943894389439,16,0.8092277227722773,16,0.6957655344811997,16,0.0,0.049716171617161686,554597,28374725,1.9545458149814667,5404.199753046036,90.06999588410059,1.5011665980683433,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/118_q_all_r4_h1_lr3em4_wd0p0_k3d3/food101/quad_dw/all_rank_4/quad_k3_d3/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,119_q_all_r8_h1_lr1em4_wd0p0_k3d3,119,Quadratic depthwise adapter,quad_dw,all,8,yes,0.0001,0.0,16,0.5904293902683573,0.8383498349834984,0.7045612864730382,0.8037623762376238,0.8385214521452146,15,0.8037623762376238,16,0.7045612864730382,16,0.0,0.034587458745874544,1031525,28851653,3.5752717530603877,13447.69393157959,224.12823219299315,3.735470536549886,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/119_q_all_r8_h1_lr1em4_wd0p0_k3d3/food101/quad_dw/all_rank_8/quad_k3_d3/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,120_q_all_r8_h1_lr3em4_wd0p0_k3d3,120,Quadratic depthwise adapter,quad_dw,all,8,yes,0.0003,0.0,16,0.5089886729134978,0.8595379537953796,0.6974326247531589,0.8081980198019802,0.8595379537953796,16,0.8091485148514852,15,0.6964119743828726,13,0.0009504950495049513,0.05133993399339931,1031525,28851653,3.5752717530603877,13467.682951450348,224.46138252417248,3.741023042069541,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/120_q_all_r8_h1_lr3em4_wd0p0_k3d3/food101/quad_dw/all_rank_8/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,209_l_all_r2_h1_lr1em4_wd0p0,209,LoRA depthwise adapter,lora_dw,all,2,yes,0.0001,0.0,16,0.4857949350879531,0.8684356435643564,0.6755781034549864,0.8132673267326732,0.8684356435643564,16,0.8146534653465346,15,0.6740616163924189,15,0.0013861386138613874,0.05516831683168322,740069,28560197,2.59126013731628,5371.499664068222,89.52499440113704,1.4920832400189505,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/209_l_all_r2_h1_lr1em4_wd0p0/food101/lora_dw/all_rank_2/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,210_l_all_r2_h1_lr3em4_wd0p0,210,LoRA depthwise adapter,lora_dw,all,2,yes,0.0003,0.0,16,0.28952983400609233,0.9240660066006601,0.7240494504045732,0.807960396039604,0.9240660066006601,16,0.8143762376237623,7,0.6742084758446948,6,0.0064158415841583105,0.11610561056105606,740069,28560197,2.59126013731628,5384.803891181946,89.7467315196991,1.4957788586616516,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/210_l_all_r2_h1_lr3em4_wd0p0/food101/lora_dw/all_rank_2/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,211_l_all_r1_h1_lr1em4_wd0p0,211,LoRA depthwise adapter,lora_dw,all,1,yes,0.0001,0.0,16,0.5229418498077015,0.8577425742574257,0.6765626574931759,0.8120792079207921,0.8577425742574257,16,0.8120792079207921,16,0.6765626574931759,16,0.0,0.04566336633663359,408869,28228997,1.4484007348897305,3657.528327226639,60.958805453777316,1.0159800908962886,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/211_l_all_r1_h1_lr1em4_wd0p0/food101/lora_dw/all_rank_1/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,212_l_all_r2_h1_lr1em4_wd0p05,212,LoRA depthwise adapter,lora_dw,all,2,yes,0.0001,0.05,16,0.49101208427322185,0.8673531353135313,0.6693212504788201,0.8138217821782178,0.8673531353135313,16,0.8149702970297029,15,0.6683570261025192,15,0.0011485148514851495,0.05353135313531354,740069,28560197,2.59126013731628,5379.888404369354,89.66480673948924,1.494413445658154,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/212_l_all_r2_h1_lr1em4_wd0p05/food101/lora_dw/all_rank_2/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,213_l_ls_r2_h1_lr1em4_wd0p0,213,LoRA depthwise adapter,lora_dw,last_stage,2,yes,0.0001,0.0,16,0.5967167816508328,0.8362508250825083,0.7451600597164418,0.7953663366336634,0.8362508250825083,16,0.7960792079207921,15,0.7434277777246909,12,0.0007128712871287135,0.04088448844884485,308069,28128197,1.0952319482119668,2350.240416765213,39.17067361275355,0.6528445602125592,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/213_l_ls_r2_h1_lr1em4_wd0p0/food101/lora_dw/last_stage_rank_2/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,214_l_all_r4_h1_lr1em4_wd0p0,214,LoRA depthwise adapter,lora_dw,all,4,yes,0.0001,0.0,16,0.4373738332502913,0.880990099009901,0.6766082954949671,0.8141386138613861,0.880990099009901,16,0.8145742574257425,15,0.6724889832935711,10,0.00043564356435643603,0.06685148514851491,1402469,29222597,4.799262023152836,6047.838692188263,100.79731153647104,1.6799551922745175,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/214_l_all_r4_h1_lr1em4_wd0p0/food101/lora_dw/all_rank_4/metrics.json
