method,stage,scope,rank,train_head,lr,weight_decay,n_seeds,seeds,best_test_acc_mean,best_test_acc_std,final_test_acc_mean,final_test_acc_std,best_test_loss_mean,final_test_loss_mean,training_time_hr_mean,trainable_params_mean,trainable_pct_mean,run_names
Full fine-tune,full_finetune,all,full,full,3e-05,0.05,5,"21,42,45,100,123",0.8641980198019802,0.0027479840843409858,0.8623603960396039,0.0031636847327331094,0.4951624480603871,0.7892816884586318,1.7553429023689695,27897797.0,100.0,302_f_lr3e5_wd0p05
LoRA depthwise adapter,lora_dw,all,2,yes,0.0001,0.0,5,"21,42,45,100,123",0.8153584158415841,0.0028629308242808216,0.8151999999999999,0.002654854077261474,0.6669606106462086,0.6677690572345629,1.155857879334026,740069.0,2.59126013731628,208_l_all_r2_h1_lr1em4_wd0p0
Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.0,5,"21,42,45,100,123",0.8124673267326733,0.0026184178707509024,0.8118970297029703,0.0020638945752064646,0.6795961223265701,0.680869532581049,1.8306738216876983,1375973.0,4.7128655980468075,108_q_all_r2_h1_lr1em4_wd0p0
Linear frozen-head baseline,linear_base,none,none,head_only,0.001,0.05,5,"21,42,45,100,123",0.7847366336633664,0.004333114897759407,0.7826376237623762,0.0040696417679206105,0.7756519189187648,0.780174402738429,1.2213690363036263,77669.0,0.2784054956023947,000_lin_lr1e3_wd0p05
