run_name,method,adapter_variant,stage,scope,rank,train_head,lr,weight_decay,trainable_params,trainable_pct,mean_acc,std_acc,num_seeds,mean_acc_pct,std_acc_pct,trainable_params_k
205_l_all_r1_h0_lr3em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,all,1,no,0.0003,0.0,331200,1.1732616642383715,0.8129425742574258,0.0013252245011443782,5,81.29425742574257,0.13252245011443783,331.2
206_l_all_r2_h0_lr3em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,all,2,no,0.0003,0.0,662400,2.319311733038816,0.8129742574257426,0.000734864264811686,5,81.29742574257426,0.0734864264811686,662.4
207_l_ls_r2_h1_lr1em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,last_stage,2,yes,0.0001,0.0,308069,1.0952319482119668,0.7956118811881188,0.0015208642722138778,5,79.56118811881187,0.15208642722138777,308.069
208_l_all_r2_h1_lr1em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,all,2,yes,0.0001,0.0,740069,2.59126013731628,0.8153584158415841,0.0028629308242808216,5,81.5358415841584,0.28629308242808216,740.069
209_l_all_r2_h1_lr1em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,all,2,yes,0.0001,0.0,740069,2.59126013731628,0.8146270627062706,0.00047579726180698627,3,81.46270627062707,0.047579726180698625,740.069
210_l_all_r2_h1_lr3em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,all,2,yes,0.0003,0.0,740069,2.59126013731628,0.8143234323432343,0.0006353113882780845,3,81.43234323432344,0.06353113882780845,740.069
211_l_all_r1_h1_lr1em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,all,1,yes,0.0001,0.0,408869,1.4484007348897303,0.8125544554455445,0.0006591412664194555,3,81.25544554455445,0.06591412664194556,408.869
212_l_all_r2_h1_lr1em4_wd0p05,LoRA depthwise adapter,LoRA,lora_dw,all,2,yes,0.0001,0.05,740069,2.59126013731628,0.8149438943894389,0.00039669912082683105,3,81.4943894389439,0.039669912082683105,740.069
213_l_ls_r2_h1_lr1em4_wd0p0,LoRA depthwise adapter,LoRA,lora_dw,last_stage,2,yes,0.0001,0.0,308069,1.0952319482119668,0.7955511551155116,0.0006049604877829527,3,79.55511551155115,0.060496048778295265,308.069
301_f_lr1e4_wd0p01,Full fine-tune,Full fine-tune,full_finetune,all,full,full,0.0001,0.01,27897797,100.0,0.8640961810466761,0.0029024468024341932,7,86.4096181046676,0.2902446802434193,27897.797
302_f_lr3e5_wd0p05,Full fine-tune,Full fine-tune,full_finetune,all,full,full,3e-05,0.05,27897797,100.0,0.8635700141442716,0.0026700069173984566,7,86.35700141442716,0.26700069173984564,27897.797
